"col-6 href","min-wid-img-mobile-custom-table src","hash-tag","hash-tag 2","offer-header","offer-content","offer-content 2","grid-topic-product-sku","fw-bold-1","grid-product-name","text-danger","text-danger 2","h4-pall","btn","h4-pall 2","h4-pall 3","text-white","text-secondary","h4-pall 4","h4-pall 5"
"","","","","","","","","","","","","","","","","","","",""
"https://www.cnypharmacy.com/product/4092","https://manager.cnypharmacy.com/uploads/product_photo/1675321410_1.jpg","ขั้นต่ำ 0 ชิ้น","จำกัด 0 ชิ้น","SPECIAL OFFER","เริ่ม 01-03-2026","ถึง 31-03-2026","รหัสสินค้า","4092","เม็ดอมผสมสารสกัดตรีผลา กลิ่นสมุนไพร ตราไอยรา 1X10X8'S [TMA-OTC3] สีเขียว","ซื้อยกแพ็ค 3 กล่อง[10ซอง]","ลดเพิ่มแพ็คละ 24 บาท","146.00 -/ กล่อง[10ซอง]","ซื้อเลย","146.00.-/","กล่อง[10ซอง]","ลดเหลือ 138.00 / กล่อง[10ซอง]","","",""
"https://www.cnypharmacy.com/product/0823","https://manager.cnypharmacy.com/uploads/product_photo/0823.jpg","ขั้นต่ำ 0 ชิ้น","จำกัด 0 ชิ้น","SPECIAL OFFER","เริ่ม 01-03-2026","ถึง 31-03-2026","รหัสสินค้า","0823","แถบตรวจน้ำตาลในเลือด ACCU-CHEK PERFORMA 25 TEST STRIP [DKS-ACCUCHEK] กล่องแดง","ซื้อ 3 กล่อง[25ชิ้น] ขึ้นไป","ลดกล่อง[25ชิ้น] ละ 2.00 บาท","595.00 -/ กล่อง[25ชิ้น]","ซื้อเลย","595.00.-/","กล่อง[25ชิ้น]","ลดเหลือ 593.00 / กล่อง[25ชิ้น]","","",""
"https://www.cnypharmacy.com/product/6945","https://manager.cnypharmacy.com/uploads/product_photo/1741765115_1.png","ขั้นต่ำ 0 ชิ้น","จำกัด 0 ชิ้น","SPECIAL OFFER","เริ่ม 01-03-2026","ถึง 31-03-2026","รหัสสินค้า","6945","แผ่นตรวจน้ำตาล ACCU-CHEK INSTANT 25 TEST STRIP [DKS-ACCUCHEK]","ซื้อ 3 กล่อง[25ชิ้น] ขึ้นไป","ลดกล่อง[25ชิ้น] ละ 5.00 บาท","435.00 -/ กล่อง[25ชิ้น]","ซื้อเลย","435.00.-/","กล่อง[25ชิ้น]","ลดเหลือ 430.00 / กล่อง[25ชิ้น]","","",""
"https://www.cnypharmacy.com/product/7037","https://manager.cnypharmacy.com/uploads/product_photo/1744104095_1.png","ขั้นต่ำ 0 ชิ้น","จำกัด 0 ชิ้น","SPECIAL OFFER","เริ่ม 01-03-2026","ถึง 31-03-2026","รหัสสินค้า","7037","ยาคุมฉุกเฉิน VENUZ ONE 24X1X1'S [NEO]","ซื้อยกแพ็ค 3 กล่อง[1แผง]","ลดเพิ่มแพ็คละ 12 บาท","15.00 -/ กล่อง[1แผง]","ซื้อเลย","15.00.-/","กล่อง[1แผง]","ลดเหลือ 11.00 / กล่อง[1แผง]","LEVONORGESTREL","360.00.-/","กล่องใหญ่[24กล่อง]"
"https://www.cnypharmacy.com/product/3578","https://manager.cnypharmacy.com/uploads/product_photo/3578.jpg","ขั้นต่ำ 0 ชิ้น","จำกัด 0 ชิ้น","SPECIAL OFFER","เริ่ม 01-03-2026","ถึง 31-03-2026","รหัสสินค้า","3578","ยาดม ตราพาสเทล ชนิดพกพา [TMA-OTC3]","ซื้อยกแพ็ค 3 หลอด","ลดเพิ่มแพ็คละ 3.51 บาท","1036.00 -/ กล่อง[60หลอด]","ซื้อเลย","1036.00.-/","กล่อง[60หลอด]","","","18.00.-/","หลอด"
"https://www.cnypharmacy.com/product/7128","https://manager.cnypharmacy.com/uploads/product_photo/1747972361_1.png","ขั้นต่ำ 0 ชิ้น","จำกัด 0 ชิ้น","SPECIAL OFFER","เริ่ม 01-03-2026","ถึง 31-03-2026","รหัสสินค้า","7128","ยาดมน้ำมีเฮิร์บ หมอมี 10ML [MME]","ซื้อยกแพ็ค 2 ขวด[10ML]  รับสินค้าแถมฟรี","","69.00 -/ ขวด[10ML]","ซื้อเลย","69.00.-/","ขวด[10ML]","แถม สินค้า SKU 6315 ยาตรี...","","",""
"https://www.cnypharmacy.com/product/1913","https://manager.cnypharmacy.com/uploads/product_photo/1913.jpg","ขั้นต่ำ 0 ชิ้น","จำกัด 0 ชิ้น","SPECIAL OFFER","เริ่ม 01-03-2026","ถึง 31-03-2026","รหัสสินค้า","1913","ยาดมเป๊ปเปอร์มินท์ ฟิลด์ 2ซีซี [TMA-OTC4]","ซื้อยกแพ็ค 3 หลอด","ลดเพิ่มแพ็คละ 2.4000000000000004 บาท","1042.00 -/ กล่อง[60 หลอด]","ซื้อเลย","1042.00.-/","กล่อง[60 หลอด]","","MENTHOL+PEPPERMINT OIL","18.00.-/","หลอด"
"https://www.cnypharmacy.com/product/5499","https://manager.cnypharmacy.com/uploads/product_photo/1699000021_1.jpg","ขั้นต่ำ 0 ชิ้น","จำกัด 0 ชิ้น","SPECIAL OFFER","เริ่ม 01-03-2026","ถึง 31-03-2026","รหัสสินค้า","5499","ยาดมเป๊ปเปอร์มิ้นท์ฟิลด์ แบล็คอินเฮเลอร์ 2ซีซี [TMA-OTC4]","ซื้อยกแพ็ค 3 หลอด","ลดเพิ่มแพ็คละ 6.1499999999999995 บาท","22.00 -/ หลอด","ซื้อเลย","22.00.-/","หลอด","ลดเหลือ 19.95 / หลอด","MENTHOL+PEPPERMINT OIL","127.00.-/","แผง[6หลอด]"
"https://www.cnypharmacy.com/product/7693","https://manager.cnypharmacy.com/uploads/product_photo/1772186951_1.jpg","ขั้นต่ำ 0 ชิ้น","จำกัด 0 ชิ้น","SPECIAL OFFER","เริ่ม 01-03-2026","ถึง 31-03-2026","รหัสสินค้า","7693","ยาดมแบล็คอินเฮเลอร์ ยาดมลูกกลิ้ง 5 CC  [TMA-OTC4]","ซื้อยกแพ็ค 3 กล่อง[6หลอด]","ลดเพิ่มแพ็คละ 35.88 บาท","38.00 -/ หลอด[5CC]","ซื้อเลย","38.00.-/","หลอด[5CC]","","","224.00.-/","กล่อง[6หลอด]"
"https://www.cnypharmacy.com/product/0657","https://manager.cnypharmacy.com/uploads/product_photo/0657.jpg","ขั้นต่ำ 0 ชิ้น","จำกัด 0 ชิ้น","SPECIAL OFFER","เริ่ม 01-03-2026","ถึง 31-03-2026","รหัสสินค้า","0657","ยาธาตุ 4 ตรากิเลน 300CC [DKS-OSOTSPA] ขวดกลาง","ซื้อ 3 ขวด[300CC] ขึ้นไป","ลดขวด[300CC] ละ 3.00 บาท","49.00 -/ ขวด[300CC]","ซื้อเลย","49.00.-/","ขวด[300CC]","ลดเหลือ 46.00 / ขวด[300CC]","ทิงเจอร์โกฐน้ำเต้า + โซเดียมไบคาร์บอเนต + ทิงเจอร์ ขิงสกัดเข้มข้น + เหล้าสะระแหน่","1169.00.-/","ลัง[24ขวด]"
